ID,Form_ID,Comment,Cognateset_ID,Segment_Slice,Alignment,Source
807-all_5,807,,all_5,1:3,n s ɛ,
808-arm_1,808,,arm_1,1:6,k o b ɔ k ɔ,
809-ashes_1,809,,ashes_1,1:5,l w i t ɔ,
810-bark_22,810,,bark_22,1:6,k e k o k o,
811-belly_1,811,,belly_1,1:3,n d a,
812-big_2,812,,big_2,1:4,n ɛ n ɛ,
813-bird_2,813,,bird_2,1:6,k a z ɔ n i,
814-to_bite_3,814,,to_bite_3,1:3,r w a,
815-black_24,815,,black_24,1:3,i n a,
816-blood_1,816,,blood_1,1:6,m i k i l a,
817-bone_2,817,,bone_2,1:4,i k w a,
818-breast_1,818,,breast_1,1:5,i b ɛ l ɛ,
819-to_burn_2,819,,to_burn_2,1:3,g y a,
821-cold_22,821,,cold_22,1:3,a s a,
822-to_come_8,822,,to_come_8,1:3,b w a,
824-to_die_1,824,,to_die_1,1:3,k w a,
825-dog_1,825,,dog_1,1:4,m b w a,
826-to_drink_1,826,,to_drink_1,1:3,n w a,
827-to_be_dry_2,827,,to_be_dry_2,1:3,o m a,
828-ear_1,828,,ear_1,1:5,i t o z i,
829-to_eat_1,829,,to_eat_1,1:3,l y a,
830-egg_16,830,,egg_16,1:7,i g y o n g o,
832-eye_1,832,,eye_1,1:4,l i s ɔ,
834-fat_16,834,,fat_16,1:6,m a n ɔ n a,
837-fire_13,837,,fire_13,1:5,k e g y a,
838-fish_10,838,,fish_10,1:5,k y e n a,
839-fly11,839,,fly11,1:6,m u l ɛ s u,
840-full_8,840,,full_8,1:5,i z a l a,
841-to_give_13,841,,to_give_13,1:4,k a s a,
843-hair_4,843,,hair_4,1:7,l o z w e l e,
844-head_1,844,,head_1,1:4,i t w ɛ,
845-to_hear_9,845,,to_hear_9,1:5,u n g w a,
846-heart_2,846,,heart_2,1:15,n g u m a _ z a _ m o r e m a,
847-heart_2,847,,heart_2,1:6,m o r e m a,
848-horn_16,848,,horn_16,1:5,l y ɛ g a,
850-to_kill_4,850,,to_kill_4,1:3,i t a,
851-knee_12,851,,knee_12,1:3,i z u,
852-to_know_12,852,,to_know_12,1:4,m ɛ ɲ a,
854-leaf_26,854,,leaf_26,1:7,l o s a m b a,
855-leg_1,855,,leg_1,1:6,k o g o l o,
856-liver_26,856,,liver_26,1:6,k e r o g o,
857-long_2,857,,long_2,1:4,l a z i,
858-louse_13,858,,louse_13,1:6,m o b o l i,
859-man_4,859,,man_4,1:8,w a m o l o m ɛ,
860-many_3,860,,many_3,1:4,i n g i,
861-meat_2,861,,meat_2,1:5,ɲ ɲ a m a,
863-moon_4,863,,moon_4,1:5,m w ɛ z i,
864-mountain_28,864,,mountain_28,1:5,i d o k ɔ,
865-mouth_1,865,,mouth_1,1:5,k a n w a,
866-name_2,866,,name_2,1:5,i z i n a,
867-nail_1,867,,nail_1,1:5,l w a n a,
868-neck_5,868,,neck_5,1:5,i k ɔ s i,
869-new_29,869,,new_29,1:11,i g y e l e g y e l e,
870-night_14,870,,night_14,1:7,m u k i n d i,
871-nose_14,871,,nose_14,1:6,m w ɛ m b ɛ,
872-one_2,872,,one_2,1:4,m ɔ z i,
873-path_1,873,,path_1,1:5,n z e l a,
874-person_1,874,,person_1,1:5,m o n t o,
875-rain_1,875,,rain_1,1:5,m b u l a,
878-root_4,878,,root_4,1:4,m u z i,
879-sand_21,879,,sand_21,1:7,k e s a n g a,
880-to_see_1,880,,to_see_1,1:4,m ɔ n a,
881-seed_17,881,,seed_17,1:6,k i g u m a,
884-to_sit_4,884,,to_sit_4,1:5,i k a l a,
885-skin_4,885,,skin_4,1:6,k e k ɔ b a,
890-small_1,890,,small_1,1:5,k ɛ ɛ k ɛ,
891-small_1,891,,small_1,1:2,k ɛ,
892-smoke_4,892,,smoke_4,1:4,m o k i,
895-to_stand_8,895,,to_stand_8,1:5,e m a n a,
897-stone_12,897,,stone_12,1:5,i k ɔ z i,
898-sun_17,898,,sun_17,1:4,m o s e,
899-tail_1,899,,tail_1,1:6,m o k e l a,
901-tongue_8,901,,tongue_8,1:6,l o l a m i,
902-tooth_1,902,,tooth_1,1:4,l i ɲ ɔ,
903-tree_1,903,,tree_1,1:4,m o r e,
904-two_5,904,,two_5,1:4,b e l e,
905-to_walk_4,905,,to_walk_4,1:4,ɛ n d a,
906-water_3,906,,water_3,1:4,m a z e,
907-what_1,907,,what_1,1:2,k e,
908-what_1,908,,what_1,1:4,k e k e,
909-what_1,909,,what_1,1:6,k i k i z i,
910-what_1,910,,what_1,1:4,k i z i,
911-white_21,911,,white_21,1:4,e n g a,
912-who_4,912,,who_4,1:4,n a z i,
913-who_4,913,,who_4,1:2,n e,
915-woman_6,915,,woman_6,1:8,m o k i k o l o,
916-woman_2,916,,woman_2,1:6,m o̩ k a z i,
1148-all_5,1148,,all_5,1:3,o t e,
1149-arm_20,1149,,arm_20,1:5,m k o n o,
1150-ashes_20,1150,,ashes_20,1:4,j i v u,
1151-bark_34,1151,,bark_34,1:4,g o m e,
1152-belly_14,1152,,belly_14,1:5,t u m b o,
1153-big_13,1153,,big_13,1:5,k u b w a,
1154-bird_7,1154,,bird_7,1:5,n d e g e,
1155-to_bite_25,1155,,to_bite_25,1:6,n g ' a t a,
1156-to_bite_2,1156,,to_bite_2,1:3,u m a,
1157-black_18,1157,,black_18,1:5,w e u s i,
1158-black_19,1158,,black_19,1:4,g i z a,
1159-blood_13,1159,,blood_13,1:4,d a m u,
1160-bone_2,1160,,bone_2,1:5,m f u p a,
1161-breast_15,1161,,breast_15,1:4,z i w a,
1162-to_burn_25,1162,,to_burn_25,1:5,c h o m a,
1163-to_burn_26,1163,,to_burn_26,1:5,u n g u a,
1164-cloud_38,1164,,cloud_38,1:5,w i n g u,
1165-cold_27,1165,,cold_27,1:6,b a r i d i,
1166-to_come_1,1166,,to_come_1,1:2,j a,
1168-to_die_1,1168,,to_die_1,1:2,f a,
1169-dog_1,1169,,dog_1,1:4,m b w a,
1170-to_drink_1,1170,,to_drink_1,1:4,n y w a,
1171-to_be_dry_3,1171,,to_be_dry_3,1:4,k a v u,
1172-ear_4,1172,,ear_4,1:5,s i k i o,
1173-to_eat_1,1173,,to_eat_1,1:2,l a,
1174-egg_17,1174,,egg_17,1:3,y a i,
1177-eye_1,1177,,eye_1,1:5,j i c h o,
1179-fat_2,1179,,fat_2,1:6,m a f u t a,
1180-feather_10,1180,,feather_10,1:5,n y o y a,
1182-fire_2,1182,,fire_2,1:4,m o t o,
1183-fish_9,1183,,fish_9,1:6,s a m a k i,
1184-fly1,1184,,fly1,1:4,i n z i,
1185-full_8,1185,,full_8,1:3,j a a,
1186-to_give_1,1186,,to_give_1,1:2,p a,
1188-hair_4,1188,,hair_4,1:6,u n y e l e,
1189-head_3,1189,,head_3,1:6,k i c h w a,
1190-to_hear_7,1190,,to_hear_7,1:5,s i k i a,
1191-heart_9,1191,,heart_9,1:4,m o y o,
1192-horn_20,1192,,horn_20,1:5,p e m b e,
1194-to_kill_13,1194,,to_kill_13,1:2,u a,
1195-knee_13,1195,,knee_13,1:4,g o t i,
1196-to_know_7,1196,,to_know_7,1:3,j u a,
1198-leaf_13,1198,,leaf_13,1:4,j a n i,
1199-leg_1,1199,,leg_1,1:4,m g u u,
1200-liver_23,1200,,liver_23,1:3,i n i,
1201-long_2,1201,,long_2,1:4,r e f u,
1202-louse_12,1202,,louse_12,1:5,c h a w a,
1203-man_4,1203,,man_4,1:9,m w a n a m u m e,
1204-many_3,1204,,many_3,1:4,i n g i,
1205-meat_2,1205,,meat_2,1:5,n y a m a,
1207-moon_4,1207,,moon_4,1:5,m w e z i,
1208-mountain_20,1208,,mountain_20,1:5,m l i m a,
1209-mouth_1,1209,,mouth_1,1:6,k i n y w a,
1210-mouth_9,1210,,mouth_9,1:5,m d o m o,
1211-name_2,1211,,name_2,1:4,j i n a,
1212-nail_17,1212,,nail_17,1:6,u k u c h a,
1213-neck_2,1213,,neck_2,1:6,s h i n g o,
1214-new_27,1214,,new_27,1:3,p y a,
1215-night_12,1215,,night_12,1:5,u s i k u,
1216-nose_9,1216,,nose_9,1:3,p u a,
1217-one_11,1217,,one_11,1:4,m o j a,
1218-path_1,1218,,path_1,1:4,n j i a,
1219-person_1,1219,,person_1,1:3,m t u,
1220-rain_1,1220,,rain_1,1:4,m v u a,
1223-root_4,1223,,root_4,1:5,m z i z i,
1224-sand_21,1224,,sand_21,1:7,m c h a n g a,
1225-to_see_1,1225,,to_see_1,1:2,o n,
1226-seed_18,1226,,seed_18,1:5,m b e g u,
1229-to_sit_4,1229,,to_sit_4,1:3,k a a,
1230-skin_23,1230,,skin_23,1:5,n g o z i,
1232-small_28,1232,,small_28,1:4,d o g o,
1233-smoke_4,1233,,smoke_4,1:5,m o s h i,
1236-to_stand_8,1236,,to_stand_8,1:6,s i m a m a,
1238-stone_10,1238,,stone_10,1:4,j i w e,
1239-sun_13,1239,,sun_13,1:3,j u a,
1240-tail_1,1240,,tail_1,1:4,m k i a,
1242-tongue_1,1242,,tongue_1,1:5,u l i m i,
1243-tooth_1,1243,,tooth_1,1:4,j i n o,
1244-tree_1,1244,,tree_1,1:3,m t i,
1245-two_5,1245,,two_5,1:4,b i l i,
1246-to_walk_13,1246,,to_walk_13,1:6,t e m b e a,
1247-water_3,1247,,water_3,1:4,m a j i,
1248-what_3,1248,,what_3,1:4,n i n i,
1249-white_26,1249,,white_26,1:4,e u p e,
1250-who_4,1250,,who_4,1:4,n a n i,
1252-woman_2,1252,,woman_2,1:8,m w a n a m k e,
1253-all_38,1253,,all_38,1:4,o n n a,
1254-arm_20,1254,,arm_20,1:7,o m u k o n o,
1255-ashes_20,1255,,ashes_20,1:4,e v v u,
1256-ashes_22,1256,,ashes_22,1:8,o m u y o n g a,
1257-bark_21,1257,,bark_21,1:7,e k i k u t a,
1258-belly_16,1258,,belly_16,1:7,o l u b u t o,
1259-big_2,1259,,big_2,1:4,n e n e,
1260-big_1,1260,,big_1,1:4,k u l u,
1261-bird_2,1261,,bird_2,1:8,e n n y o n y i,
1262-to_bite_3,1262,,to_bite_3,1:4,l u m a,
1263-black_20,1263,,black_20,1:7,d d u g a v u,
1264-black_21,1264,,black_21,1:7,d d u g a l a,
1265-blood_14,1265,,blood_14,1:8,o m u s a a y i,
1266-bone_12,1266,,bone_12,1:7,e g g u m b a,
1267-breast_1,1267,,breast_1,1:7,e b b e e r e,
