ID,Comment,Name,BLR Index,BLR Root,Description,Source
all_1,,all_1,627,ncò,,
all_14,,all_14,,bweːyansong,,
all_2,,all_2,,eswe,,
all_3,,all_3,,kima,,
all_34,,all_34,,tsa,,
all_35,,all_35,,otheene,,
all_36,,all_36,,kaufela,,
all_37,,all_37,,hinkw,,
all_38,,all_38,,onna,,
all_5,,all_5,500,ncè,,
all_6,,all_6,3764,gùmá,,
all_8,,all_8,,nkan,,
arm_1,,arm_1,260,bókò,,
arm_20,,arm_20,1929,kónò,,
arm_5,,arm_5,,sek,,
arm_7,,arm_7,8957,gàdò,,
ashes_1,,ashes_1,2954,tó,,
ashes_11,,ashes_11,,tʊng,,
ashes_16,,ashes_16,,jiko,,
ashes_18,,ashes_18,10047,bombɪ,,
ashes_19,,ashes_19,,cʊi,,
ashes_20,,ashes_20,355,bú,,
ashes_21,,ashes_21,3026,tʊ́é,,
ashes_22,,ashes_22,6780,jòngà,,
ashes_23,,ashes_23,7330,dòtà,,
ashes_24,,ashes_24,,kuma,,
ashes_25,,ashes_25,,puduca,,
ashes_26,,ashes_26,1538,gùmbɪ́,,
ashes_27,,ashes_27,,toko,,
ashes_28,,ashes_28,7434,koke,,
ashes_4,,ashes_4,3937,budu,,
ashes_5,,ashes_5,4992,tʊ́gʊ́,,
ashes_6,,ashes_6,5212,tʊtʊ,,
ashes_7,,ashes_7,,tʊda/tʊta,,
ashes_8,,ashes_8,,tup,,
bark_1,,bark_1,,,,
bark_11,,bark_11,4598,jʊda,,
bark_17,,bark_17,,peta,,
bark_18,,bark_18,4909,kʊ̀à,,
bark_19,,bark_19,4600,gʊda,,
bark_2,,bark_2,5264,pʊ̀cʊ́,,
bark_20,,bark_20,,||olo,,
bark_21,,bark_21,,,,
bark_22,,bark_22,5372,kʊ́kʊ́,,
bark_23,,bark_23,,jati,,
bark_24,,bark_24,,pande,,
bark_25,,bark_25,,,,
bark_26,,bark_26,,,,
bark_27,,bark_27,,,,
bark_28,,bark_28,,,,
bark_29,,bark_29,,,,
