ID,Language ID,Concept,Form,Translation,Comment,Segments,Source,Plural,Variants,Value
807,d25_lega,all,nsɛ,,,n s ɛ,botne1994lega,,,
808,d25_lega,arm,ko-bɔkɔ,,,k o b ɔ k ɔ,botne1994lega,,i-bɔkɔ,
809,d25_lega,ashes,lw-itɔ,,,l w i t ɔ,botne1994lega,,,
810,d25_lega,bark,ke-koko,,,k e k o k o,botne1994lega,,,
811,d25_lega,belly,n-da,,,n d a,botne1994lega,,,
812,d25_lega,big,nɛnɛ,,,n ɛ n ɛ,botne1994lega,,,
813,d25_lega,bird,ka-zɔni,,,k a z ɔ n i,botne1994lega,,,
814,d25_lega,to_bite,rwa,,,r w a,botne1994lega,,,
815,d25_lega,black,ina,be black,,i n a,botne1994lega,,,
816,d25_lega,blood,mi-kila,,,m i k i l a,botne1994lega,,,
817,d25_lega,bone,i-kwa,,,i k w a,botne1994lega,,,
818,d25_lega,breast,i-bɛlɛ,,,i b ɛ l ɛ,botne1994lega,,,
819,d25_lega,to_burn,ɡya,,from reconstructed *pe,g y a,botne1994lega,,,
821,d25_lega,cold,asa,,,a s a,botne1994lega,,,
822,d25_lega,to_come,bwa,,from reconstructed *du,b w a,botne1994lega,,,
824,d25_lega,to_die,kwa,,,k w a,botne1994lega,,,
825,d25_lega,dog,m-bwa,,,m b w a,botne1994lega,,,
826,d25_lega,to_drink,nwa,,,n w a,botne1994lega,,,
827,d25_lega,to_be_dry,oma,,,o m a,botne1994lega,,,
828,d25_lega,ear,i-tozi,,,i t o z i,botne1994lega,,ko-rozi,
829,d25_lega,to_eat,lya,,,l y a,botne1994lega,,,
830,d25_lega,egg,iɡy-onɡo,,,i g y o n g o,botne1994lega,,,
832,d25_lega,eye,l-isɔ,,,l i s ɔ,botne1994lega,,,
834,d25_lega,fat,ma-nɔna,,,m a n ɔ n a,botne1994lega,,,
837,d25_lega,fire,k-eɡya,,from *pea,k e g y a,botne1994lega,,,
838,d25_lega,fish,ky-ena,,,k y e n a,botne1994lega,,,
839,d25_lega,to_fly,mu-lɛsu,,,m u l ɛ s u,botne1994lega,,,
840,d25_lega,full,izala,,,i z a l a,botne1994lega,,,
841,d25_lega,to_give,kasa,,,k a s a,botne1994lega,,,
843,d25_lega,hair,lo-zwele,,,l o z w e l e,botne1994lega,,,
844,d25_lega,head,i-twɛ,,,i t w ɛ,botne1994lega,,,
845,d25_lega,to_hear,unɡwa,,from *yigu,u n g w a,botne1994lega,,,
846,d25_lega,heart,n-ɡuma za mo-rema,anatomical heart,,n g u m a _ z a _ m o r e m a,botne1994lega,,,
847,d25_lega,heart,mo-rema,soul,,m o r e m a,botne1994lega,,,
848,d25_lega,horn,ly-ɛɡa,,,l y ɛ g a,botne1994lega,,,
850,d25_lega,to_kill,ita,,from *yit,i t a,botne1994lega,,,
851,d25_lega,knee,i-zu,,,i z u,botne1994lega,,,
852,d25_lega,to_know,mɛɲa,,,m ɛ ɲ a,botne1994lega,,,
854,d25_lega,leaf,lo-samba,,,l o s a m b a,botne1994lega,,,
855,d25_lega,leg,ko-ɡolo,,,k o g o l o,botne1994lega,,,
856,d25_lega,liver,ke-roɡo,,,k e r o g o,botne1994lega,,,
857,d25_lega,long,lazi,,,l a z i,botne1994lega,,,
858,d25_lega,louse,mo-boli,,,m o b o l i,botne1994lega,,,
859,d25_lega,man,wa-molomɛ,,,w a m o l o m ɛ,botne1994lega,,,
860,d25_lega,many,inɡi,,,i n g i,botne1994lega,,,
861,d25_lega,meat,ɲ-ɲama,,,ɲ ɲ a m a,botne1994lega,,,
863,d25_lega,moon,mw-ɛzi,,,m w ɛ z i,botne1994lega,,,
864,d25_lega,mountain,i-dokɔ,,,i d o k ɔ,botne1994lega,,,
865,d25_lega,mouth,ka-nwa,,,k a n w a,botne1994lega,,,
866,d25_lega,name,iz-ina,,,i z i n a,botne1994lega,,,
867,d25_lega,nail,lw-ana,,,l w a n a,botne1994lega,,,
868,d25_lega,neck,i-kɔsi,,,i k ɔ s i,botne1994lega,,,
869,d25_lega,new,iɡyeleɡyele,,,i g y e l e g y e l e,botne1994lega,,,
870,d25_lega,night,mu-kindi,,,m u k i n d i,botne1994lega,,,
871,d25_lega,nose,mw-ɛmbɛ,,,m w ɛ m b ɛ,botne1994lega,,,
872,d25_lega,one,mɔzi,,,m ɔ z i,botne1994lega,,,
873,d25_lega,path,n-zela,,,n z e l a,botne1994lega,,,
874,d25_lega,person,mo-nto,,,m o n t o,botne1994lega,,,
875,d25_lega,rain,m-bula,,,m b u l a,botne1994lega,,,
878,d25_lega,root,mu-zi,,,m u z i,botne1994lega,,,
879,d25_lega,sand,ke-sanɡa,,,k e s a n g a,botne1994lega,,mo-sanɡa,
880,d25_lega,to_see,mɔna,,,m ɔ n a,botne1994lega,,,
881,d25_lega,seed,ki-ɡuma,,,k i g u m a,botne1994lega,,,
884,d25_lega,to_sit,ikala,,,i k a l a,botne1994lega,,,
885,d25_lega,skin,ke-kɔba,,,k e k ɔ b a,botne1994lega,,,
886,d25_lega,to_lie_down,iɡyɔmbeka,,,i g y ɔ m b e k a,botne1994lega,,,
887,d25_lega,to_lie_down,ɡyama,,,g y a m a,botne1994lega,,,
888,d25_lega,to_lie_down,zɔmbama,,,z ɔ m b a m a,botne1994lega,,,
889,d25_lega,to_lie_down,ibizɛ,,,i b i z ɛ,botne1994lega,,,
890,d25_lega,small,kɛɛkɛ,,,k ɛ ɛ k ɛ,botne1994lega,,,
891,d25_lega,small,kɛ,,,k ɛ,botne1994lega,,,
892,d25_lega,smoke,m-oki,,,m o k i,botne1994lega,,,
895,d25_lega,to_stand,emana,,,e m a n a,botne1994lega,,,
897,d25_lega,stone,i-kɔzi,,,i k ɔ z i,botne1994lega,,,
898,d25_lega,sun,mo-se,,,m o s e,botne1994lega,,,
899,d25_lega,tail,mo-kela,,,m o k e l a,botne1994lega,,,
901,d25_lega,tongue,lo-lami,,from *demi,l o l a m i,botne1994lega,,,
902,d25_lega,tooth,l-iɲɔ,,,l i ɲ ɔ,botne1994lega,,,
903,d25_lega,tree,mo-re,,,m o r e,botne1994lega,,,
904,d25_lega,two,bele,,,b e l e,botne1994lega,,,
905,d25_lega,to_walk,ɛnda,,,ɛ n d a,botne1994lega,,,
906,d25_lega,water,ma-ze,,,m a z e,botne1994lega,,ma-nze,
907,d25_lega,what,ke,,,k e,botne1994lega,,,
908,d25_lega,what,keke,,,k e k e,botne1994lega,,,
909,d25_lega,what,kikizi,,,k i k i z i,botne1994lega,,,
910,d25_lega,what,kizi,,,k i z i,botne1994lega,,,
911,d25_lega,white,enɡa,,,e n g a,botne1994lega,,,
912,d25_lega,who,nazi,,,n a z i,botne1994lega,,,
913,d25_lega,who,ne,,,n e,botne1994lega,,,
915,d25_lega,woman,mo-kikolo,,,m o k i k o l o,botne1994lega,,,
916,d25_lega,woman,mo̩-kazi,,,m o̩ k a z i,botne1994lega,,,
1148,g42_swahili,all,ote,,,o t e,kirkeby2001swahili,,,
1149,g42_swahili,arm,m-kono,,,m k o n o,kirkeby2001swahili,,,
1150,g42_swahili,ashes,jivu,,,j i v u,kirkeby2001swahili,,,
1151,g42_swahili,bark,gome,,,g o m e,kirkeby2001swahili,,,
1152,g42_swahili,belly,tumbo,,,t u m b o,kirkeby2001swahili,,,
1153,g42_swahili,big,kubwa,,,k u b w a,kirkeby2001swahili,,,
1154,g42_swahili,bird,ndege,,,n d e g e,kirkeby2001swahili,,,
1155,g42_swahili,to_bite,ng'ata,,,n g ' a t a,kirkeby2001swahili,,,
1156,g42_swahili,to_bite,uma,,,u m a,kirkeby2001swahili,,,
1157,g42_swahili,black,weusi,,,w e u s i,kirkeby2001swahili,,,
1158,g42_swahili,black,giza,,,g i z a,kirkeby2001swahili,,,
1159,g42_swahili,blood,damu,,,d a m u,kirkeby2001swahili,,,
1160,g42_swahili,bone,m-fupa,,,m f u p a,kirkeby2001swahili,,,
1161,g42_swahili,breast,ziwa,,,z i w a,kirkeby2001swahili,,,
1162,g42_swahili,to_burn,choma,,,c h o m a,kirkeby2001swahili,,,
1163,g42_swahili,to_burn,ungua,,,u n g u a,kirkeby2001swahili,,,
1164,g42_swahili,cloud,wingu,,,w i n g u,kirkeby2001swahili,,,
1165,g42_swahili,cold,baridi,,,b a r i d i,kirkeby2001swahili,,,
